#key	name	year	genre	developer	players
1552 Tenka Tairan (Japan)	1552 Tenka Tairan	1993	Strategy	ASK Kodansha	1
3x3 Eyes - Sanjiyan Henjou (Japan)	3x3 Eyes : Sanjiyan Henjyo	1994	Adventure	Nihon Create	1
A.III. - A Ressha de Ikou III (Japan)	A Ressha de Iko III	1993	Simulation / Vehicle/Simulation	Artdink	1
Addams Family, The (USA)	The Addams Family	1991	Platform	ICOM Simulations	1
Advanced V.G. (Japan)	Advanced V.G.	1994	Fighting / Versus/Fighting	GIGA	1-2
Adventure Quiz - Capcom World + Hatena no Daibouken (Japan)	Adventure Quiz - Capcom World + Hatena No Daibouken	1992	Quiz / Japanese/Quiz	Capcom	1-2
Ai Chou Aniki (Japan) (SADS, SAES)	Ai Cho Aniki	1995	Shoot'em Up/Shoot'em Up / Horizontal	Masaya Games	1-2
Akiyama Jin no Suugaku Mystery - Hihou India no Honoo o Shishu Seyo! (Japan)	Akiyama Jin no Suugaku Mystery - Hihou India no Honoo o Shishu Seyo!	1994	Educational	NHK	1
Akumajou Dracula X - Chi no Rondo (Japan)	Akumajou Dracula X - Chi no Rondo	1993	Platform	Konami	1
Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FAAT)	Alnam no Kiba: Juuzoku Juuni Shinto Densetsu	1994	Role Playing Game	Right Stuff	1
Alshark (Japan)	Alshark	1994	Role Playing Game	Ocarina System	1
Ane-san (Japan)	Ane-san	1995	Beat'em Up	NEC	1-2
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)	Aoki Ookami To Shiroki Mejika - Genchou Hishi	1993	Strategy	Koei	1
Asuka 120% Maxima - Burning Fest. Maxima (Japan)	Asuka 120% Maxima Burning Fest	1995	Beat'em Up	Fill in Café	1
Atlas, The - Renaissance Voyager (Japan)	The Atlas - Renaissance Voyager	1994	Strategy	Artdink	1
Aurora Quest - Otaku no Seiza in Another World (Japan)	Aurora Quest - Otaku No Seiza In Another World	1993	Role Playing Game	Pack In Video	1
Avenger (Japan)	Avenger	1981	Shoot'em Up / Vertical/Shooter/Shoot'em Up	Shin-Nihon Laser Soft	1
Babel (Japan)	Babel	1992	Role Playing Game	Shin-Nihon Laser Soft	1
Baby Jo - The Super Hero (Japan)	Baby Jo - The Super Hero	1994	Platform	Loriciel	1
Bakuden - Unbalance Zone (Japan)	Bakuden - Unbalance Zone	1994	Adventure	Kogado Software Products	1
Bakushou Yoshimoto Shinkigeki (Japan) (FABT)	Bakushou Yoshimoto Shinkigeki	1994	Platform	Hudson Soft	1
Basted (Japan)	Basted	1994	Role Playing Game	AIC Spirits	1
Battle Shanghai - Dragon's Eye (Japan)	Shanghai 3	1992	Mahjong/Puzzle/Asiatic board game	Home Data	1-5
Bazar de Gozarre no Game de Gozarre (Japan)	Bazaru Degozaru No Game Degozaru	1996	Puzzle	Game Freak	1
Beyond Shadowgate (USA)	Beyond Shadowgate	1993	Adventure	Turbo Technologies	1
Bikkuriman Daijikai (Japan)	Bikkuriman Daijikai	1988	Quiz / Japanese/Quiz	Hudson Soft	1
Bishoujo Senshi Sailor Moon (Japan)	Bishoujo Senshi Sailor Moon	1994	Adventure / Visual Novel/Adventure	Banpresto	1
Bishoujo Senshi Sailor Moon Collection (Japan)	Bishoujo Senshi Sailor Moon Collection	1994	Adventure / Point and Click/Adventure	TamTam	1
Black Hole Assault (Japan)	Black Hole Assault	1993	Fighting / 2D/Fighting	Micronet	1
Blood Gear (Japan)	Blood Gear	1994	Role Playing Game	Westone	1
Bomberman '94 (Japan) (Demo)	Bomberman '94 Taikenban		Action / Labyrinth/Action	Hudson Soft	
Bomberman - Panic Bomber (Japan) (FAAT)	Bomberman - Panic Bomber	1994	Puzzle / Fall/Puzzle	Hudson Soft	1-5
Bonanza Bros. (Japan)	Bonanza Bros.	1992	Platform / Shooter Scrolling/Platform	SEGA	1-2
Bonk III - Bonk's Big Adventure (USA)	Bonk 3 : Bonk's Big Adventure	1993	Platform	Hudson Soft	1-2
Brandish (Japan)	Brandish	1994	Action RPG/Role Playing Game	Nihon Falcom	1
