#name	crc	size	key
1552 Tenka Tairan (Japan)	0102c180	2818	1552 Tenka Tairan (Japan)
3x3 Eyes - Sanjiyan Henjou (Japan)	a21ea804	837	3x3 Eyes - Sanjiyan Henjou (Japan)
3x3 Eyes - Sanjiyan Henjou (Japan) (Rev 1)	2f2cf621	893	3x3 Eyes - Sanjiyan Henjou (Japan)
A.III. - A Ressha de Ikou III (Japan)	287311e6	722	A.III. - A Ressha de Ikou III (Japan)
Addams Family, The (USA)	54a39bde	113	Addams Family, The (USA)
Advanced V.G. (Japan)	08fb23e6	3543	Advanced V.G. (Japan)
Adventure Quiz - Capcom World + Hatena no Daibouken (Japan)	54a01e7d	984	Adventure Quiz - Capcom World + Hatena no Daibouken (Japan)
Ai Chou Aniki (Japan) (SADS, SAES)	694a0c77	2305	Ai Chou Aniki (Japan) (SADS, SAES)
Akiyama Jin no Suugaku Mystery - Hihou India no Honoo o Shishu Seyo! (Japan)	cb633ca9	4394	Akiyama Jin no Suugaku Mystery - Hihou India no Honoo o Shishu Seyo! (Japan)
Akumajou Dracula X - Chi no Rondo (Japan)	521384d0	2565	Akumajou Dracula X - Chi no Rondo (Japan)
Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FAAT)	5f8b94c9	5595	Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FAAT)
Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FABT)	53efd685	5618	Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FAAT)
Alshark (Japan)	b709d5ba	1407	Alshark (Japan)
Ane-san (Japan)	2d2fb7a9	2597	Ane-san (Japan)
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)	6deb0545	2102	Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)
Asuka 120% Maxima - Burning Fest. Maxima (Japan)	ebe0b652	3102	Asuka 120% Maxima - Burning Fest. Maxima (Japan)
Atlas, The - Renaissance Voyager (Japan)	39c78883	1642	Atlas, The - Renaissance Voyager (Japan)
Aurora Quest - Otaku no Seiza in Another World (Japan)	ccc2f3d5	2622	Aurora Quest - Otaku no Seiza in Another World (Japan)
Avenger (Japan)	9e32e6ee	4005	Avenger (Japan)
Babel (Japan)	8d71bb59	8704	Babel (Japan)
Baby Jo - The Super Hero (Japan)	91f69bfb	566	Baby Jo - The Super Hero (Japan)
Bakuden - Unbalance Zone (Japan)	35b721df	4026	Bakuden - Unbalance Zone (Japan)
Bakushou Yoshimoto Shinkigeki (Japan) (FABT)	5060f11e	3582	Bakushou Yoshimoto Shinkigeki (Japan) (FABT)
Basted (Japan)	491b2fdd	3428	Basted (Japan)
Battle Shanghai - Dragon's Eye (Japan)	9366461a	1422	Battle Shanghai - Dragon's Eye (Japan)
Bazar de Gozarre no Game de Gozarre (Japan)	1d21fd4f	3294	Bazar de Gozarre no Game de Gozarre (Japan)
