#key	style	ss_system_id
1552 Tenka Tairan (Japan)	box-3D	114
3x3 Eyes - Sanjiyan Henjou (Japan)	box-3D	114
A.III. - A Ressha de Ikou III (Japan)	box-3D	114
Addams Family, The (USA)	box-3D	114
Advanced V.G. (Japan)	box-3D	114
Adventure Quiz - Capcom World + Hatena no Daibouken (Japan)	box-3D	114
Ai Chou Aniki (Japan) (SADS, SAES)	box-3D	114
Akiyama Jin no Suugaku Mystery - Hihou India no Honoo o Shishu Seyo! (Japan)	box-3D	114
Akumajou Dracula X - Chi no Rondo (Japan)	box-3D	114
Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FAAT)	box-3D	114
Alshark (Japan)	box-3D	114
Ane-san (Japan)	box-3D	114
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)	box-3D	114
Asuka 120% Maxima - Burning Fest. Maxima (Japan)	box-3D	114
Atlas, The - Renaissance Voyager (Japan)	box-3D	114
Aurora Quest - Otaku no Seiza in Another World (Japan)	box-3D	114
Avenger (Japan)	box-3D	114
Babel (Japan)	box-3D	114
Baby Jo - The Super Hero (Japan)	box-3D	114
Bakuden - Unbalance Zone (Japan)	box-3D	114
Bakushou Yoshimoto Shinkigeki (Japan) (FABT)	box-3D	114
Basted (Japan)	box-3D	114
Battle Shanghai - Dragon's Eye (Japan)	box-3D	114
Bazar de Gozarre no Game de Gozarre (Japan)	box-3D	114
Beyond Shadowgate (USA)	box-3D	114
Bikkuriman Daijikai (Japan)	box-3D	114
Bishoujo Senshi Sailor Moon (Japan)	box-3D	114
Bishoujo Senshi Sailor Moon Collection (Japan)	box-3D	114
Black Hole Assault (Japan)	box-3D	114
Blood Gear (Japan)	box-3D	114
Bomberman '94 (Japan) (Demo)	box-3D	114
Bomberman - Panic Bomber (Japan) (FAAT)	box-3D	114
Bonanza Bros. (Japan)	box-3D	114
Bonk III - Bonk's Big Adventure (USA)	box-3D	114
Brandish (Japan)	box-3D	114
Browning (Japan)	box-3D	114
BuilderLand - The Story of Melba (Japan)	box-3D	114
Burai - Yatsudama no Yuushi Densetsu (Japan)	box-3D	114
Burai II - Yami Koutei no Gyakushuu (Japan)	box-3D	114
Buster Bros. (USA)	box-3D	114
CAL II (Japan)	box-3D	114
CAL III - Kanketsu-hen (Japan)	box-3D	114
CD Battle - Hikari no Yuushatachi (Japan)	box-3D	114
CD Denjin - Rockabilly Tengoku (Japan)	box-3D	114
Camp California (USA)	box-3D	114
Cardangels (Japan)	box-3D	114
Chiki Chiki Boys (Japan)	box-3D	114
Chou Aniki (Japan) (FAAT, FACT)	box-3D	114
Chou Eiyuu Densetsu - Dynastic Hero (Japan)	box-3D	114
Chou Jikuu Yousai Macross - Eien no Love Song (Japan)	box-3D	114
Chou Jikuu Yousai Macross 2036 (Japan)	box-3D	114
Color Wars (Japan)	box-3D	114
Cosmic Fantasy - Bouken Shounen Yuu (Japan)	box-3D	114
Cosmic Fantasy 2 (USA)	box-3D	114
Cosmic Fantasy 2 - Bouken Shounen Ban (Japan)	box-3D	114
Cosmic Fantasy 3 - Bouken Shounen Rei (Japan)	box-3D	114
Cosmic Fantasy 4 - Ginga Shounen Densetsu - Gekitou-hen (Japan)	box-3D	114
Cosmic Fantasy 4 - Ginga Shounen Densetsu - Totsunyuu-hen (Japan)	box-3D	114
Cyber City Oedo 808 - Kemono no Alignment (Japan)	box-3D	114
Daisenpuu Custom (Japan)	box-3D	114
Daisenryaku II - Campaign Version (Japan)	box-3D	114
Davis Cup Tennis, The (Japan)	box-3D	114
De-Ja (Japan)	box-3D	114
Dead of the Brain 1&2 (Japan)	box-3D	114
Death Bringer - The Knight of Darkness (Japan)	box-3D	114
Dekoboko Densetsu - Hashiru Wagamanmaa (Japan)	box-3D	114
Dennou Tenshi - Digital Ange (Japan)	box-3D	114
Doraemon - Nobita no Dorabian Night (Japan)	box-3D	114
Double Dragon II - The Revenge (Japan)	box-3D	114
Doukyuusei (Japan) (Rev 3)	box-3D	114
Down Load 2 (Japan)	box-3D	114
Downtown Nekketsu Koushinkyoku - Soreyuke Daiundoukai (Japan)	box-3D	114
Downtown Nekketsu Monogatari (Japan)	box-3D	114
Dragon Ball Z - Idainaru Son Gokuu Densetsu (Japan) (FABT)	box-3D	114
Dragon Half (Japan)	box-3D	114
Dragon Knight & Graffiti (Japan)	box-3D	114
Dragon Knight II (Japan)	box-3D	114
Dragon Knight III (Japan)	box-3D	114
Dragon Slayer - The Legend of Heroes (USA)	box-3D	114
Dragon Slayer - The Legend of Heroes II (Japan)	box-3D	114
Dungeon Explorer II (USA)	box-3D	114
Dungeon Master - Theron's Quest (USA)	box-3D	114
Dynastic Hero, The (USA)	box-3D	114
Efera & Jiliora - The Emblem from Darkness (Japan)	box-3D	114
Eikan wa Kimi ni - Koukou Yakyuu Zenkoku Taikai (Japan)	box-3D	114
Eiyuu Sangokushi (Japan)	box-3D	114
Emerald Dragon (Japan)	box-3D	114
Exile (USA)	box-3D	114
Exile - Toki no Hasama e (Japan)	box-3D	114
Exile - Wicked Phenomenon (USA)	box-3D	114
Exile II - Janen no Jishou (Japan)	box-3D	114
F1 Circus Special - Pole to Win (Japan) (FABT)	box-3D	114
F1 Team Simulation - Project F (Japan)	box-3D	114
Faceball (Japan)	box-3D	114
Faerie Dust Story - Meikyuu no Elfeene (Japan)	box-3D	114
Fantastic Night Dreams - Cotton (USA)	box-3D	114
Far East of Eden - Tengai Makyou - Fuun Kabuki-den (Japan)	box-3D	114
Far East of Eden - Tengai Makyou - Ziria (Japan) (Hibaihin)	box-3D	114
Far East of Eden - Tengai Makyou II - Manji Maru (Japan)	box-3D	114
Farjius no Jakoutei - Neo Metal Fantasy (Japan)	box-3D	114
Faussete Amour (Japan)	box-3D	114
Fiend Hunter (Japan)	box-3D	114
Fighting Street (USA)	box-3D	114
Final Zone II (USA)	box-3D	114
Flash Hiders (Japan)	box-3D	114
Forgotten Worlds (USA) (En,Ja)	box-3D	114
Formation Soccer 95 della Serie A (Japan)	box-3D	114
Fushigi no Umi no Nadia - The Secret of Blue Water (Japan)	box-3D	114
GS (Ghost Sweeper) Mikami (Japan)	box-3D	114
Gain Ground SX (Japan)	box-3D	114
Galaxy Deka Gayvan (Japan)	box-3D	114
Garou Densetsu 2 - Aratanaru Tatakai (Japan) (FABT, FACT, FAET, FAFT)	box-3D	114
Garou Densetsu Special (Japan) (FABT)	box-3D	114
Gate of Thunder (Japan) (FACT, FADT)	box-3D	114
Gate of Thunder + Bonk's Adventure + Bonk's Revenge (USA)	box-3D	114
Genocide (Japan)	box-3D	114
Gensou Tairiku Auleria (Japan)	box-3D	114
Ginga Fukei Densetsu Sapphire (Japan)	box-3D	114
Ginga Ojousama Densetsu Yuna (Japan) (FAFT)	box-3D	114
Ginga Ojousama Densetsu Yuna 2 - Eien no Princess (Japan) (FAAT)	box-3D	114
Go! Go! Birdie Chance (Japan)	box-3D	114
God Panic - Shijou Saikyou no Gundan (Japan)	box-3D	114
Godzilla (USA)	box-3D	114
Godzilla Bakutou Retsuden (Japan)	box-3D	114
Goetzendiener (Japan)	box-3D	114
Golden Axe (Japan)	box-3D	114
Gradius II - Gofer no Yabou (Japan)	box-3D	114
Gulclight TDF 2 (Japan)	box-3D	114
Gyuwambler Jiko Chuushinha - Gekitou 36 Janshi (Japan)	box-3D	114
Gyuwambler Jiko Chuushinha - Mahjong Puzzle Collection (Japan)	box-3D	114
Hataraku Shoujo - Tekipaki Working Love (Japan)	box-3D	114
Hatsukoi Monogatari (Japan) (Rev 1)	box-3D	114
Hawk F-123 (Japan)	box-3D	114
Hellfire S - The Another Story (Japan)	box-3D	114
High Grenadier (Japan)	box-3D	114
Hihou Densetsu - Chris no Bouken (Japan)	box-3D	114
Himitsu no Hanazono (Japan)	box-3D	114
Horror Story (Japan)	box-3D	114
Hu PGA Tour - PowerGolf 2 - Golfer (Japan)	box-3D	114
Human Sports Festival (Japan)	box-3D	114
Hyaku Monogatari - Honto ni Atta Kowai Hanashi (Japan)	box-3D	114
Hyper Dyne - SideArms Special (Japan)	box-3D	114
Hyper Wars (Japan) (SAAS)	box-3D	114
IQ Panic (Japan)	box-3D	114
Iga Ninden Gaiou (Japan)	box-3D	114
ImageFight II - Operation Deepstriker (Japan)	box-3D	114
In Magical Adventure - Fray CD - Xak Gaiden (Japan)	box-3D	114
Inoue Mami - Kono Hoshi ni Tatta Hitori no Kimi (Japan)	box-3D	114
It Came from the Desert (USA)	box-3D	114
J. B. Harold Murder Club (USA) (En,Ja)	box-3D	114
J. B. Harold Series 1 - Murder Club (Japan)	box-3D	114
J.League Tremendous Soccer '94 (Japan)	box-3D	114
Jack Nicklaus Turbo Golf (USA)	box-3D	114
Jack Nicklaus' World Tour Golf - 162 Holes (Japan)	box-3D	114
Jantei Monogatari (Japan)	box-3D	114
Jantei Monogatari 2 - Uchuu Tantei Diban - Kanketsu-hen (Japan)	box-3D	114
Jantei Monogatari 2 - Uchuu Tantei Diban - Shutsudou-hen (Japan)	box-3D	114
Jantei Monogatari 3 - Saver Angels (Japan)	box-3D	114
Jim Power in Mutant Planet (Japan)	box-3D	114
John Madden Duo CD Football (USA) (RE)	box-3D	114
Juuouki (Japan) (Rev 4)	box-3D	114
KO Seiki Beast Sanjuushi - Gaia Fukkatsu - Kanketsu-hen (Japan)	box-3D	114
Kabuki Ittouryoudan (Japan) (FAAT)	box-3D	114
Kagami no Kuni no Legend (Japan)	box-3D	114
Kaizou Choujin Shubibinman 3 - Ikai no Princess (Japan)	box-3D	114
Kakutou Haou Densetsu - Algunos (Japan)	box-3D	114
Kawa no Nushitsuri - Shizen-ha (Japan)	box-3D	114
Kaze Kiri - Ninja Action (Japan)	box-3D	114
Kiaidan 00 (Japan)	box-3D	114
Kick Boxing, The (Japan)	box-3D	114
Kisou Louga (Japan) (FABT)	box-3D	114
Kisou Louga II - The Ends of Shangrila (Japan)	box-3D	114
Kuusou Kagaku Sekai Gulliver Boy (Japan)	box-3D	114
L-Dis (Japan)	box-3D	114
Lady Phantom (Japan) (FABT)	box-3D	114
Langrisser - Hikari no Matsuei (Japan)	box-3D	114
