#key	synopsis
1552 Tenka Tairan (Japan)	1552 Tenka Tairan is a war strategy game set during the Sengoku period of the Japanese history (1552-1600) when ambitious daimyo (feudal lords) began to overthrow their superiors, resulting in a global war for dominance in Japan. The player controls a warlord, choosing one of the available historical figures or creating their own character. Character creation is Ultima-style where are a series of questions generates the player-controlled general with relevant statistics. The gameplay involves managing the army, advancing the troops, conquering neighboring provinces, defending castles with a wealth of tactical possibilities. Though the game pauses when the player makes a decision, the time advances regardless of the player's actions, effectively making Tenka Tairan a real-time strategy game.
3x3 Eyes - Sanjiyan Henjou (Japan)	Sanjiyan Henj? is based on the manga and anime series 3x3 Eyes. Pai, a young girl from the immortal tribe of sanzhiyan, three-eyed demons of Chinese origin, wants to become a human again. She meets a Japanese teenager named Yakumo Fujii, whom she accidentally turns into a &quot;wu&quot;, an immortal obedient servant of a three-eyed demon. Together, Pai and Yakumo try to regain their lost humanity. This game can be considered a side-story to the series. The player does not control Yakumo, but an ordinary high-school student named Kenichi Yamamoto. Accidentally, Kenichi comes into contact with the world of demons, and now he needs the help of Pai and Yakumo to be freed. The gameplay is standard Japanese-style adventure. The player interacts with the game world by selecting menu commands &quot;Look&quot;, &quot;Talk&quot;, and &quot;Move&quot;. The game features animated cutscenes and (in its console incarnation) voice-overs.
A.III. - A Ressha de Ikou III (Japan)	AKA Take the A-Train III Play as the head of a railway company, with the aim of creating a railroad empire, providing a successful mass transit system that will be an inspiration to the rest of the world. As your network develops the city around it grows and prospers. Manage freight and passenger lines to move people and resources across your domain.
Addams Family, The (USA)	Based on the Addams Family movie, this game is quite different from the other Addams Family variants. The player is cast in the role of Tully Alford, the crooked lawyer of the Addams family. He finds out that somewhere in the family mansion, a great treasure is stored in a vault. He decides to venture into the mansion and retrieve the treasure. Naturally, this is going to be anything but easy, as the insane Addams family members and a legion of ghosts and monsters are there to make sure the lawyer fails... Like most other Addams Family incarnations, this is a side-scrolling action game. Tully Alford's only weapon is an umbrella that fires energy shots at enemies. Tully can also jump and duck to avoid enemy blows. The game world consists of a &quot;hub&quot; area, the hall of Addams Family mansion, and many rooms, most of which are locked in the beginning of the game. The gameplay consists mainly of exploring the accessible rooms and collecting keys that are needed to open other doors in the process. Some of the rooms contain treasure and power-ups, while others are infested by monsters or require the player to defeat a boss enemy in order to advance.
Advanced V.G. (Japan)	Advanced Variable Geo is a fighting game featuring only female fighters! You'll have a choice of nine girls: Yuka Takeuchi, a waitress and the game's heroine; Chiho Masuda, a ninja girl; Manami Kusunoki, a quirky and cute girl with cat gloves; Jun Kubota; Satomi Yajima; Ayako Yuki; Elirin; Kaori Yanase; and Reimi Jahana. Three game modes are available: Normal Mode, VS Mode, and Story Mode. The game's story is quite unusual: waitresses from different restaurants compete in grand tournaments using powerful super attacks and special fighting techniques. Note that only Yuka is playable in Story Mode!
Adventure Quiz - Capcom World + Hatena no Daibouken (Japan)	Adventure Quiz is a compilation of two games previously released on the arcades, Capcom World and Hatena? no Daiboken. Both games play very similarly: the player has to roll dice in order to navigate his/her alter ego on a board with medieval/fantasy backgrounds. Depending on the result, the character advances a certain amount of squares, which lead to various quiz challenges. The player has to answer a series of questions within a time limit, choosing the right answer among the several (usually four) available ones. The themes of the questions are varied, ranging from history and geography to Japanese popular culture and very specific themes (such as bicycles). Two-player gameplay is also possible.
Ai Chou Aniki (Japan) (SADS, SAES)	The sequel to the first Cho Aniki (Super Big Brother) game, this is very Japanese in its bizarreness. It's a shoot ?em up, with the player taking the role of an almost nude muscle-man (Adon) or his brother (Samson) in a 2 player game. Their main weapon is a ball of energy that grows over a hole in their heads and shoots out towards any advancing enemies. Other, more powerful shots are achieved by a combination of back-forward-fire, down-up-fire etc on the pad. Through the levels you will encounter all manner of nasties out to get you, but you are aided by a woman in blue that flies around and drops power-ups conveniently for you. Also, levels vary from the standard left-to-right to vertically scrolling.
Akiyama Jin no Suugaku Mystery - Hihou India no Honoo o Shishu Seyo! (Japan)	Akiyama Jin no Suugaku Mystery: Hihou &quot;Indo no Honoo&quot; wo Shishu Seyo! (Akiyama Jin's Mathematical Mystery: Protect the Indian Flame!) follows mathematician Jin Akiyama as he solves mathematical riddles to protect an ancient treasure known as the &quot;Indian Flame.&quot; The game combines logical puzzles and story-driven gameplay.
Akumajou Dracula X - Chi no Rondo (Japan)	In the days of old, the people thrived on peace and prosperity. Indeed, fears of unrest were not among their thoughts... But, ever-present, beneath the veneer of tranquility, evil lurks. Evil, which spurns prosperity and disdains peace. Gather they did, those who wished to summon the powers of darkness and cleanse the decadence of the world. And, with smiling countenance, they anxiously awaited the coming of their era. A hundred years had past, and he was resurrected. Able to become bat, wolf, or mist at will, he lived in the night. He drank the blood of young maidens and lived an eternal life. The lord of Castlevania, the god of evil, Count Dracula was reborn.
Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FAAT)	Kenbu is a young warrior who trains in the art of shape-shifting - his people possess the ability to turn into beasts. One day, his home village is attacked by a hideous spider-like monster. Kenbu's best friend and mentor dies protecting him. The young hero kills the monster, but soon thereafter has to leave the village and find out who or what was behind that attack. Kenbu encounters other heroes, and together they must stop the evil that is threatening the entire world. Alnam no Kiba (&quot;Fang of Alnam&quot;) is a traditional Japanese RPG. Kenbu and his party roam the top-down world, walking on the world map, visiting towns and dungeons, and fighting random enemies in turn-based combat. The battles are viewed from the same top-down perspective as the navigation (like in Alshark). Every action in battle depletes a certain amount of spirit points. The heroes can use regular attacks, magic, and unite attacks, that do high damage to all enemies, but consume a lot of spirit points.
