#key	synopsis
1552 Tenka Tairan (Japan)	1552 Tenka Tairan es un juego de estrategia de guerra, compatible con ratón, situado durante el periodo Sengoku de Japón. Los tres escenarios de la campaña se situan respectivamente durante los años 1552, 1582 y 1600. El jugados se encuentra en medio de una situación conocida como Gekokujou, donde un ambicioso señor feudal (conocido en japonés como daimyo) empieza a enfrentarse a sus superiores dando resultado a una gerra civil por la conquista de Japón. El jugador se encuentra en el rol de uno de los señores feudales, pudiendo escoger entre diferentes personajes históricos o crear el suyo propio. El proceso de creación se asemeja al estilo de los juegos tipo Ultima, donde se le presetan al jugador una serie de preguntas que responder y en función de sus respuestas varian las estadísticas del general controlado. El modo de juego incluye administrar el ejército, mover tropas, conquistar territorios, defender sus castillos, etc. Aunque el juego se pausa cuando el jugador ha de tomar una decisión, el tiempo avanza sin tener en cuenta las acciones del jugador, por lo que se considera un juego de estrategia en tiempo real. Las batallas tienen lugar en pantallas diferentes, donde se presentan distintas tácticas para posicionar y controlar las tropas.
3x3 Eyes - Sanjiyan Henjou (Japan)	3x3 Eyes: Sanjiyan Henjyo es un juego de aventuras en TurboGrafx / PC Engine. Está basado en el universo de manga y anime 3x3 Eyes. Pai, una niña de la tribu Sanjiyan, tres demonios de ojos chinos, quiere volver a ser humana. Ella conoce a una adolescente japonesa, Yakumo Fuji, a quien involuntariamente se convierte en una esclava inmortal para servir y que también buscará volver a ser humana.
A.III. - A Ressha de Ikou III (Japan)	A.III es la tercera parte de la serie A-Train. Esta es una simulación de gestión ferroviaria en PC Engine que le brinda los controles de una compañía de trenes. Depende de usted tomar las decisiones correctas para hacer crecer su negocio y colocarlo en la cima de la industria.
Addams Family, The (USA)	Como la mayoría de las versiones de la familia Addams, este es un juego de acción de desplazamiento lateral. La única arma de Tully Alford es un paraguas que dispara energía a los enemigos. Tully también puede saltar y agacharse para evitar los golpes del enemigo. El mundo del juego consiste en un área de &quot; centro &quot;, la sala de la mansión de la familia Addams y muchas habitaciones, la mayoría de las cuales están cerradas al principio del juego. El juego consiste principalmente en explorar las salas accesibles y recoger las llaves que se necesitan para abrir otras puertas en el proceso. Algunas de las habitaciones contienen tesoros y potenciadores, mientras que otras están infestadas de monstruos o requieren que el jugador derrote a su jefe enemigo para poder avanzar.
Advanced V.G. (Japan)	Advanced Variable Geo es un juego de lucha para chicas. Podrás elegir entre 9 chicas: Yuka Takeuchi, una camarera y heroína del juego, Chiho Masuda, una chica Ninja, Manami Kusunoki, una extraña y simpática chica con guantes de gato, Jun Kubota, Satomi Yajima, Ayako Yuki, Elirin, Kaori Yanase y Reimi Jahana. Hay 3 modos de juego: modo normal, modo VS y modo historia. La historia del juego es bastante inusual: camareras de diferentes restaurantes compiten en grandes torneos usando poderosos superataques y técnicas especiales de lucha. Ten en cuenta que solo Yuka es jugable en el modo historia.
Adventure Quiz - Capcom World + Hatena no Daibouken (Japan)	Adventure Quiz es una compilación de dos juegos publicados anteriormente en las salas recreativas: &quot;Capcom World&quot; y &quot;Hatena? No Daiboken&quot;. Los dos juegos son muy similares: el jugador debe tirar los dados para avanzar en un tablero. Dependiendo del resultado, el personaje avanza varios cuadros, lo que lleva a diferentes desafíos de prueba. El jugador debe responder una serie de preguntas dentro de un tiempo específico, eligiendo la respuesta correcta entre las muchas (generalmente cuatro) disponibles. Un juego de dos jugadores también es posible.
Ai Chou Aniki (Japan) (SADS, SAES)	Ai Cho Aniki es un juego de acción en el CD TurboGrafx. En este shooter de desplazamiento horizontal, juegas como culturista para elegir entre los dos personajes secundarios del juego anterior Cho Aniki. Por el contrario, los personajes principales de Cho Aniki pasan aquí en segundo plano y aparecen de vez en cuando para dar bonos a tu héroe atlético que usa un traje de baño.
Akiyama Jin no Suugaku Mystery - Hihou India no Honoo o Shishu Seyo! (Japan)	Akiyama Jin no Suugaku Mystery: Hihou &quot;Indo no Honoo&quot; wo Shishu Seyo! (El misterio matemático de Akiyama Jin: ¡Protege la Llama India!) sigue al matemático Jin Akiyama mientras resuelve acertijos matemáticos para proteger un antiguo tesoro conocido como la &quot;Llama India&quot;. El juego combina rompecabezas lógicos y una jugabilidad centrada en la historia.
Akumajou Dracula X - Chi no Rondo (Japan)	Es el año 1792, y Drácula es revivido por el sacerdote oscuro Shaft. Después de reconstruir sus fuerzas oscuras, se dispone a destruir la aldea donde vive Richter Belmont, descendiente del clan Belmont y heredero del látigo Vampire Killer. Por otra parte, Drácula secuestra a la novia de Richter, Annette, a una cazadora de vampiros de doce años de edad, de nombre Maria Renard, y otros dos aldeanos locales: una monja conocida como Tera, e Iris, la hija del médico del pueblo. Blandiendo el látigo de sus antepasados, Richter se aleja hacia Castlevania, enfrentando a muchos monstruos en el camino, en especial, a Death. Después de avanzar por el castillo, Richter consigue rescatar a Annette, María, y las dos aldeanas locales: Iris y Tera. María, aunque muy joven, es capaz de ayudarle con sus animales familiares, para poder eliminar a Drácula. Richter y María resultan victoriosos en la batalla contra Shaft, Death (La Muerte) y Drácula.
Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FAAT)	¡Arunamu No Kiba es un juego de rol por turnos! Kenbu es un joven guerrero que se está entrenando para cambiar su forma (su gente tiene la capacidad de transformarse en una bestia). Un día, su ciudad natal es atacada por un monstruo horrible que se asemeja a una araña. El mejor amigo y mentor de Kenbu muere mientras lo protege. El joven héroe luego mata al monstruo, pero poco después, debe abandonar la aldea y descubrir quién o qué está detrás de este ataque. Kenbu se encuentra con otros héroes y juntos deben detener el mal que amenaza al mundo entero.
