#key	synopsis
1552 Tenka Tairan (Japan)	1552 Tenka Tairan est un jeu de stratégie de guerre en temps réel . Se déroulant pendant l'époque Sengoku de l'histoire japonaise. Les trois scénarios de campagne sont définis, respectivement, dans les années 1552, 1582 et 1600. Le joueur est placé au c?ur de la situation dite de gekokujou , lorsqu'un ambitieux daimyo (seigneur féodal) commence à renverser ses supérieurs, ce qui entraîne une guerre mondiale pour la domination au Japon. Le joueur contrôle un seigneur de guerre, en choisissant l'un des personnages historiques disponibles ou en créant son propre personnage. La création de personnage est de style Ultima; on pose une série de questions au joueur et en fonction de la réponse le général contrôlé par le joueur disposera de statistiques différentes.
3x3 Eyes - Sanjiyan Henjou (Japan)	3x3 Eyes : Sanjiyan Henjyo est un jeu d'aventure sur TurboGrafx/PC Engine. Il se base sur l'univers du manga et de l'anime 3x3 Eyes. Pai, une jeune fille de la tribu des sanjiyan, des démons à trois yeux d'origine chinoise, veut redevenir humaine. Elle rencontre un adolescent japonais, Yakumo Fuji, qu'elle transforme involontairement en esclave immortel à son service et qui cherchera lui aussi à redevenir humain.
A.III. - A Ressha de Ikou III (Japan)	A.III est le troisième volet de la série A-Train. Il s'agit d'une simulation de gestion ferroviaire sur PC Engine qui vous donne les commandes d'une compagnie de trains. A vous de prendre les bonnes décisions pour faire prospérer votre entreprise et la placer en tête du secteur.
Addams Family, The (USA)	Basé sur le film &quot;La Famille Adams&quot; le joueur y dirige Tully Alford, l'avocat tordu de la famille Addams. Il découvre que quelque part dans le manoir familial, un grand trésor est entreposé dans un coffre-fort. Il décide alors de s'aventurer dans le manoir et de récupérer le trésor. Comme la plupart des autres jeux basés sur &quot;la famille Addams&quot;, il s'agit d'un jeu d'action à défilement horizontal. La seule arme de Tully est un parapluie qui tire des coups d'énergie sur les ennemis. Tully peut aussi sauter et se baisser pour éviter les coups ennemis. Le gameplay consiste principalement à explorer les salles accessibles et à collecter les clés nécessaires pour ouvrir d'autres portes. Certaines salles contiennent des trésors et des bonus, tandis que d'autres sont infestées de monstres ou exigent du joueur qu'il triomphe d'un boss ennemi pour avancer.
Advanced V.G. (Japan)	Advanced Variable Geo est un jeu de combat composé uniquement de combattantes ! Vous aurez ainsi le choix entre 9 filles : Yuka Takeuchi une serveuse et l'héroïne du jeu, Chiho Masuda une fille Ninja, Manami Kusunoki une fille étrange et mignonne avec des gants de chat, Jun Kubota, Satomi Yajima, Ayako Yuki , Elirin, Kaori Yanase et Reimi Jahana. 3 Mode de jeu sont au programme : le mode normal , le mode VS et le mode histoire . L'histoire du jeu est assez inhabituelle: des serveuses de différents restaurants s'affrontent dans de grands tournois en utilisant de puissantes super-attaques et des techniques de combat spéciales. A noter que seule Yuka est jouable dans le mode histoire !
Adventure Quiz - Capcom World + Hatena no Daibouken (Japan)	Adventure Quiz est une compilation de deux jeux précédemment publiés dans les salles d'arcade : &quot;Capcom World&quot; et &quot;Hatena? no Daiboken&quot;. Les deux jeux se ressemblent beaucoup: le joueur doit lancer des dés pour avancer sur un plateau . En fonction du résultat, le personnage avance d'un certain nombre de cases , ce qui conduit à différents défis de quiz. Le joueur doit répondre à une série de questions dans un délai déterminé, en choisissant la bonne réponse parmi les nombreuses (en général quatre) disponibles. Un jeu à deux joueurs est également possible. Lorsqu'il atteint la dernière case d'un &quot;monde&quot;, le joueur doit faire face à un &quot;chef ennemi&quot; (généralement un personnage de jeux populaires de Capcom, tels que Side Arms, Forgotten Worlds, etc.). Les thèmes des questions sont variés, allant de l'histoire et la géographie à la culture populaire japonaise, en passant par des thèmes très spécifiques (tels que le vélo).
Ai Chou Aniki (Japan) (SADS, SAES)	Ai Cho Aniki est un jeu d'action sur TurboGrafx CD. Dans ce shooter à défilement horizontal, vous incarnez un bodybuilder à choisir parmi les deux personnages secondaires du précédent jeu Cho Aniki. A l'inverse, les personnages principaux de Cho Aniki passent ici au second plan et apparaissent de temps en temps pour donner des bonus à votre athlétique héros vêtu d'un slip de bain.
Akumajou Dracula X - Chi no Rondo (Japan)	Castlevania : Rondo of Blood sur TurboGraphx CD est un jeu d'aventure/action dans lequel vous incarnez Richter Belmont qui part au secours de sa fiancée enlevée par Dracula. Au fil des niveaux, vous rencontrez de viles créatures et vous devez vous servir de votre précieux fouet pour les vaincre. Mais attention, à la fin de chaque niveau un boss vous attend. Un bon timing et de bons réflexes ne seront pas de trop pour en venir à bout.
Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FAAT)	Arunamu No Kiba est un jeu de rôle au tour par tour ! Kenbu est un jeune guerrier qui s'entraîne à changer de forme (son peuple possède la capacité de se transformer en bête). Un jour, son village natal est attaqué par un monstre hideux ressemblant à une araignée. Le meilleur ami et mentor de Kenbu meurt en le protégeant. Le jeune héros tue alors le monstre, mais peu de temps après, il doit quitter le village et découvrir qui ou quoi se cache derrière cette attaque. Kenbu rencontre d'autres héros et ensemble ils doivent faire cesser le mal qui menace le monde entier.
Alshark (Japan)	Alshark est un jeu de rôle de science-fiction comportant plusieurs caractéristiques distinctives. Le joueur contrôle un groupe de cinq personnages maximum explorant un vaste monde constitué de plusieurs systèmes solaires chacun avec ses propres planètes et stations spatiales . La navigation dans l'espace se fait à l'aide du vaisseau spatial Atlia, qui peut être équipé de diverses armes, moteurs etc. De temps en temps, le joueur s'engage dans un combat spatial aléatoire contre des navires ennemis. Ces combats sont automatiques par défaut, mais le joueur peut également choisir de contrôler le navire et de tirer avec ses armes manuellement.
