#key	synopsis
1552 Tenka Tairan (Japan)	552 Tenka Tairan è un gioco di strategia di guerra ambientato durante il periodo Sengoku della storia giapponese (1552-1600) quando gli ambiziosi daimyo (signori feudali) iniziarono a rovesciare i loro superiori, provocando una guerra globale per il dominio in Giappone. Il giocatore controlla un signore della guerra, scegliendo una delle figure storiche disponibili o creando il proprio personaggio. La creazione del personaggio è in stile Ultima dove una serie di domande genera il generale controllato dal giocatore con statistiche pertinenti.
3x3 Eyes - Sanjiyan Henjou (Japan)	Sanjiyan Henj? è basato sulla serie manga e anime 3x3 Eyes. Pai, una giovane ragazza della tribù immortale dei sanzhiyan, demoni con tre occhi di origine cinese, vuole tornare umana. Incontra un adolescente giapponese di nome Yakumo Fujii, che trasforma accidentalmente in un &quot;wu&quot;, un immortale servitore obbediente di un demone con tre occhi. Insieme, Pai e Yakumo cercano di riconquistare la loro umanità perduta. Questo gioco può essere considerato una storia secondaria alla serie. Il giocatore non controlla Yakumo, ma un normale studente delle superiori di nome Kenichi Yamamoto. Per caso, Kenichi entra in contatto con il mondo dei demoni, e ora ha bisogno dell'aiuto di Pai e Yakumo per essere liberato.
A.III. - A Ressha de Ikou III (Japan)	AKA Prendi il treno A III Gioca nei panni del capo di una compagnia ferroviaria, con l'obiettivo di creare un impero ferroviario, fornendo un sistema di trasporto di massa di successo che sarà fonte di ispirazione per il resto del mondo. Man mano che la tua rete si sviluppa, la città intorno ad essa cresce e prospera. Gestisci le linee merci e passeggeri per spostare persone e risorse nel tuo dominio.
Addams Family, The (USA)	Basato sul film della famiglia Addams, questo gioco è molto diverso dalle altre varianti della famiglia Addams. Il giocatore è scelto per il ruolo di Tully Alford, l'avvocato corrotto della famiglia Addams. Scopre che da qualche parte nella villa di famiglia, un grande tesoro è conservato in un caveau. Decide di avventurarsi nella villa e recuperare il tesoro. Naturalmente, sarà tutt'altro che facile, dato che i folli membri della famiglia Addams e una legione di fantasmi e mostri sono lì per assicurarsi che l'avvocato fallisca...
Advanced V.G. (Japan)	La storia di Advanced V.G. segue un modello simile a quelli dei precedenti giochi Variable Geo: le giovani donne più forti del paese organizzano un torneo, che è sponsorizzato da varie catene di ristoranti, che a loro volta chiedono alle ragazze in competizione di fingersi cameriere che lavorano in detti ristoranti, per la promozione scopi. Tornano le ragazze del gruppo Jahana che hanno recitato nei giochi precedenti, con la nuova protagonista principale la giovane artista marziale Yuka Takeuchi, che si è allenata in una foresta appartata prima di partecipare alla competizione.
Adventure Quiz - Capcom World + Hatena no Daibouken (Japan)	Adventure Quiz è una raccolta di due giochi precedentemente pubblicati nelle sale giochi, Capcom World e Hatena? niente Daiboken. Entrambi i giochi funzionano in modo molto simile: il giocatore deve tirare i dadi per navigare il suo alter ego su un tabellone con sfondi medievali/fantastici. A seconda del risultato, il personaggio avanza di un certo numero di caselle, che portano a varie sfide a quiz. Il giocatore deve rispondere ad una serie di domande entro un limite di tempo, scegliendo la risposta giusta tra le numerose (di solito quattro) disponibili. I temi delle domande sono vari, dalla storia e dalla geografia alla cultura popolare giapponese e temi molto specifici (come le biciclette). È anche possibile giocare a due giocatori.
Ai Chou Aniki (Japan) (SADS, SAES)	Il seguito del primo gioco Cho Aniki (Super Grande Fratello), questo è molto giapponese nella sua bizzarria. È uno sparatutto, con il giocatore che assume il ruolo di un uomo muscoloso quasi nudo (Adon) o di suo fratello (Samson) in una partita a 2 giocatori. La loro arma principale è una sfera di energia che cresce su un buco nelle loro teste e spara verso i nemici che avanzano. Altri colpi più potenti si ottengono con una combinazione di fuoco indietro-avanti, fuoco basso-alto ecc. sul pad. Attraverso i livelli incontrerai tutti i tipi di cattivi per prenderti, ma sei aiutato da una donna in blu che vola in giro e rilascia potenziamenti convenientemente per te. Inoltre, i livelli variano dallo scorrimento standard da sinistra a destra allo scorrimento verticale.
Akumajou Dracula X - Chi no Rondo (Japan)	È l'anno 1792 e Dracula viene riportato in vita dal prete oscuro Shaft. Dopo aver ricostruito le sue forze oscure, si propone di distruggere il villaggio dove vive Richter Belmont, un discendente del clan Belmont ed erede della frusta Vampire Killer. Altrove, Dracula rapisce la fidanzata di Richter, Annette, una cacciatrice di vampiri dodicenne di nome Maria Renard, e altri due abitanti del villaggio: una suora conosciuta come Tera, e Iris, la figlia del dottore della città. Brandendo la frusta dei suoi antenati, Richter si allontana verso Castlevania, affrontando molti mostri lungo la strada, in particolare la Morte.
Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FAAT)	Kenbu è un giovane guerriero che si allena nell'arte del mutare forma: il suo popolo possiede la capacità di trasformarsi in bestie. Un giorno, il suo villaggio natale viene attaccato da un orribile mostro simile a un ragno. Il migliore amico e mentore di Kenbu muore proteggendolo. Il giovane eroe uccide il mostro, ma subito dopo deve lasciare il villaggio e scoprire chi o cosa c'era dietro quell'attacco. Kenbu incontra altri eroi e insieme devono fermare il male che minaccia il mondo intero.
Alshark (Japan)	Alshark è un gioco di ruolo di fantascienza con diverse caratteristiche distintive. Il giocatore controlla un gruppo di un massimo di cinque personaggi che esplorano un vasto mondo composto da diversi sistemi solari, ognuno con i propri pianeti e stazioni spaziali. La navigazione spaziale viene effettuata utilizzando la navicella spaziale Atlia, che può essere equipaggiata con varie armi, motori, ecc. Di tanto in tanto, il giocatore si impegna in combattimenti spaziali casuali contro le navi nemiche. Questi combattimenti sono automatici per impostazione predefinita, ma il giocatore può anche scegliere di controllare la nave e sparare con le armi manualmente.
