#key	name	year	genre	developer	players
1943 Kai (Japan)	1943 Kai	1991	Shoot'em Up / Vertical/Shoot'em Up	Capcom	1-2
21 Emon - Mezase! Hotel Ou (Japan)	21 Emon : Mezase Hotel Ou!!	1994	Board game	Red Company Corporation	1-4
Aero Blasters (USA)	Aero Blasters	1990	Shoot'em Up / Horizontal/Shoot'em Up	Inter State	1-2
After Burner II (Japan) (En)	After Burner II	1990	Shooter / Plane, TPV/Shooter	Bits Laboratory	1
Air Zonk (USA)	Air Zonk	1992	Shoot'em Up/Shoot'em Up / Horizontal	Naxat Soft	1
Alien Crush (USA)	Alien Crush	1989	Pinball	Compile	1
All Star Power League (Japan)	World Class Baseball	1989	Sports/Sports / Baseball	Hudson Soft	1-2
Andre Panza Kick Boxing (USA)	André Panza Kick Boxing	1991	Sports / Boxing/Sports	Futura	1-2
Aoi Blink (Japan)	Aoi Blink	1990	Platform	Westone	1-2
Appare! Gateball (Japan)	Appare! Gateball	1988	Sports	Westone	1-2
Armed F (Japan) (En)	Formation Armed F	1990	Shoot'em Up / Vertical/Shoot'em Up	Manjyudo	1
Artist Tool (Japan)	Artist Tool	1989	Educational	Hudson Soft	1
Atomic Robo-Kid Special (Japan) (En)	Atomic Robo-Kid Special	1990	Shoot'em Up / Horizontal/Shoot'em Up	UPL	1
Ballistix (USA)	Ballistix	1992	Sports	Reflections Interactive	1-2
Bari Bari Densetsu (Japan)	Bari Bari Densetsu	1989	Racing, Driving	Taito	1-2
Barunba (Japan)	Barunba	1990	Shoot'em Up	ZAP	1
Batman (Japan) (En)	Batman	1990	Platform	Sunsoft	1
Battle Lode Runner (Japan) (En)	Battle Lode Runner	1993	Platform	Hudson Soft	1-5
Battle Royale (USA)	Battle Royale	1990	Fighting	Enerdyne Technologies	1-5
Benkei Gaiden (Japan)	Benkei Gaiden	1989	Role Playing Game	Sunsoft	1
Bikkuriman World (Japan)	Bikkuriman World	1987	Platform	Escape	1
Blazing Lazers (USA)	Blazing Lazers	1989	Shoot'em Up / Vertical/Shoot'em Up	Compile	1
Bloody Wolf (USA)	Bloody Wolf	1990	Shooter / Run and Gun/Shooter	Data East	1
Bomberman '93 (USA)	Bomberman '93	1993	Action / Labyrinth/Action	NEC	1-5
Bomberman '93 - Special Version (Japan)	Bomberman '93	1993	Action / Labyrinth/Action	NEC	1-5
Bomberman '94 (Japan)	Bomberman '94	1993	Action / Labyrinth/Action	Hudson Soft	1-5
Bomberman (USA)	Bomberman	1990	Action / Labyrinth/Action	Hudson Soft	1-5
Bomberman - Users Battle (Japan)	Bomberman	1990	Action / Labyrinth/Action	Hudson Soft	1-5
Bonk 3 - Bonk's Big Adventure (USA)	Bonk III : Bonk's Big Adventure	1993	Platform	A.I Co	1-2
Bonk's Adventure (USA)	Bonk's Adventure	1990	Platform	Atlus	1
Bonk's Revenge (USA)	Bonk's Revenge	1991	Platform	Red Company Corporation	1
Bouken Danshaku Don - The Lost Sunheart (Japan)	Bouken Danshaku Don : The Lost Sunheart	1992	Shoot'em Up / Horizontal/Shoot'em Up	Manjyudo	1-2
Boxyboy (USA)	Boxyboy	1990	Puzzle	Thinking Rabbit	1
Bravoman (USA)	Bravoman	1990	Platform / Fighter Scrolling/Platform	Namco	1
Break In (Japan) (En)	Break In	1989	Sports / Pool/Sports	Algorithm Institute	1-4
Bubblegum Crash! (Japan)	Bubblegum Crash! : Knight Sabers 2034	1991	Adventure	Spiel	1
Bull Fight - Ring no Hasha (Japan)	Bull Fight : Ring no Hasha	1989	Sports/Sports / Boxing	Cream	1-8
Burning Angels (Japan)	Burning Angels	1990	Shoot'em Up / Vertical/Shoot'em Up	Naxat Soft	1-2
Cadash (USA)	Cadash	1991	Platform	Taito	1-2
Champion Wrestler (Japan) (En)	Champion Wrestler	1990	Fighting/Sports	Taito	1-4
Champions Forever Boxing (USA)	Champions Forever Boxing	1991	Sports / Boxing/Sports	Distinctive Software	1-2
Chase H.Q. (USA)	Chase H.Q.	1992	Racing, Driving	Daiei Seisakusho	1
Chew-Man-Fu (USA)	Chew Man Fu	1990	Puzzle	Now Production	1-2
Chibi Maruko-chan - Quiz de Piihyara (Japan)	Chibi Maruko-chan : Quiz de Piihyara	1992	Quiz / Japanese/Quiz	Namcot	1-2
Chikudenya Toubei - Kubikiri Yakata Yori (Japan)	Chikudenya Toubei : Kubikiri Yakata Yori	1990	Adventure	Bit2	1
China Warrior (USA)	China Warrior	1989	Beat'em Up	Hudson Soft	1
Circus Lido (Japan) (En)	Circus Lido	1991	Puzzle	Uni Post Company	1
City Hunter (Japan)	City Hunter	1990	Platform / Shooter Scrolling/Platform	Sunsoft	1
Columns (Japan)	Columns	1991	Puzzle / Fall/Puzzle	Shin-Nihon Laser Soft	1-2
Coryoon (Japan)	Coryoon : Child of Dragon	1991	Shoot'em Up / Horizontal/Shoot'em Up	Naxat Soft	1
Cratermaze (USA)	Cratermaze	1990	Strategy	Hudson Soft	1
Cross Wiber - Cyber Combat Police (Japan) (En)	Cross Wiber : Cyber Combat Police	1990	Platform / Fighter Scrolling/Platform	Sankindo	1
Cyber Cross (Japan)	Busou Keiji : Cyber Cross	1989	Platform / Fighter Scrolling/Platform	ITL	1
Cyber Dodge (Japan) (En)	Cyber Dodge	1992	Sports / Dodgeball/Sports	Compile	1-2
Cyber Knight (Japan)	Cyber Knight	1990	Role Playing Game	Compile	1
Cyber-Core (USA)	Cyber-Core	1990	Shoot'em Up / Vertical/Shoot'em Up	Alfa System	1
Daichi-kun Crisis - Do Natural (Japan)	Daichi-kun Crisis : Do Natural	1989	Strategy	Salio	1
Daisenpuu (Japan) (En)	Daisenpuu	1990	Shoot'em Up / Vertical/Shoot'em Up	Center Tech	1-2
Darius Alpha (Japan) (En) (SG Enhanced)	Darius Alpha	1990	Shoot'em Up / Horizontal/Shoot'em Up	Bits Laboratory	1
Darius Plus (Japan) (En) (SG Enhanced)	Darius Plus	1990	Shoot'em Up / Horizontal/Shoot'em Up	Bits Laboratory	1
Darkwing Duck (USA)	Disney's Darkwing Duck	1992	Platform	Radiance Software	1
Davis Cup Tennis (USA)	Davis Cup Tennis	1991	Sports/Sports / Tennis	Loricel	1-4
Dead Moon (USA)	Dead Moon	1992	Shoot'em Up / Horizontal/Shoot'em Up	Studio Ducks	1
Deep Blue (USA)	Deep Blue	1990	Shoot'em Up / Horizontal/Shoot'em Up	Pack In Video	1
Detana!! TwinBee (Japan)	Detana!! TwinBee	1992	Shoot'em Up / Vertical/Shoot'em Up	Konami	1-2
Devil's Crush (USA)	Devil's Crush	1990	Pinball	Naxat Soft	1-2
Die Hard (Japan)	Die Hard	1990	Shooter / Run and Gun/Shooter	Pack In Video	1
Digital Champ - Battle Boxing (Japan)	Digital Champ: Battle Boxing	1989	Sports/Sports / Boxing	Naxat Soft	1
Don Doko Don! (Japan)	Don Doko Don!	1990	Platform	Taito	1-2
Doraemon - Nobita no Dorabian Night (Japan)	Doraemon : Nobita no Dorabian Night	1991	Platform	Now Production	1
