#name	crc	size	key
1943 Kai (Japan)	fde08d6d	524288	1943 Kai (Japan)
21 Emon - Mezase! Hotel Ou (Japan)	73614660	524288	21 Emon - Mezase! Hotel Ou (Japan)
Adventure Island (Japan)	8e71d4f3	262144	Dragon's Curse (USA)
Aero Blasters (Japan) (En)	25be2b81	524288	Aero Blasters (USA)
Aero Blasters (USA)	b03e0b32	524288	Aero Blasters (USA)
After Burner II (Japan) (En)	ca72a828	524288	After Burner II (Japan) (En)
Air Zonk (USA)	933d5bcc	524288	Air Zonk (USA)
Air Zonk (USA, Europe) (Wii U Virtual Console)	d76c4169	524288	Air Zonk (USA)
Alien Crush (Japan) (En)	60edf4e1	262144	Alien Crush (USA)
Alien Crush (USA)	ea488494	262144	Alien Crush (USA)
All Star Power League (Japan)	04a85769	262144	All Star Power League (Japan)
Andre Panza Kick Boxing (USA)	a980e0e9	524288	Andre Panza Kick Boxing (USA)
Ankoku Densetsu (Japan)	cacc06fb	262144	Legendary Axe II (USA)
Aoi Blink (Japan)	08a09b9a	393216	Aoi Blink (Japan)
Appare! Gateball (Japan)	2b54cba2	262144	Appare! Gateball (Japan)
Armed F (Japan) (En)	20ef87fd	262144	Armed F (Japan) (En)
Artist Tool (Japan)	5e4fa713	262144	Artist Tool (Japan)
Atomic Robo-Kid Special (Japan) (En)	dd175efd	524288	Atomic Robo-Kid Special (Japan) (En)
Ballistix (Japan) (En)	8acfc8aa	262144	Ballistix (USA)
Ballistix (USA)	420fa189	262144	Ballistix (USA)
Bari Bari Densetsu (Japan)	c267e25d	393216	Bari Bari Densetsu (Japan)
Barunba (Japan)	4a3df3ca	524288	Barunba (Japan)
Batman (Japan) (En)	106bb7b2	393216	Batman (Japan) (En)
Battle Lode Runner (Japan) (En)	59e44f45	262144	Battle Lode Runner (Japan) (En)
Battle Royale (USA)	e70b01af	524288	Battle Royale (USA)
Be Ball (Japan)	261f1013	262144	Chew-Man-Fu (USA)
Benkei Gaiden (Japan)	e1a73797	393216	Benkei Gaiden (Japan)
Benkei Gaiden (Japan) (Wii Virtual Console)	c9626a43	393216	Benkei Gaiden (Japan)
Bikkuriman World (Japan)	2841fd1e	262144	Bikkuriman World (Japan)
Blazing Lazers (USA)	b4a1b0f6	393216	Blazing Lazers (USA)
