#key	style	ss_system_id
1943 Kai (Japan)	box-3D	31
21 Emon - Mezase! Hotel Ou (Japan)	box-3D	31
Aero Blasters (USA)	box-3D	31
After Burner II (Japan) (En)	box-3D	31
Air Zonk (USA)	box-3D	31
Alien Crush (USA)	box-3D	31
All Star Power League (Japan)	box-3D	31
Andre Panza Kick Boxing (USA)	box-3D	31
Aoi Blink (Japan)	box-3D	31
Appare! Gateball (Japan)	box-3D	31
Armed F (Japan) (En)	box-3D	31
Artist Tool (Japan)	box-3D	31
Atomic Robo-Kid Special (Japan) (En)	box-3D	31
Ballistix (USA)	box-3D	31
Bari Bari Densetsu (Japan)	box-3D	31
Barunba (Japan)	box-3D	31
Batman (Japan) (En)	box-3D	31
Battle Lode Runner (Japan) (En)	box-3D	31
Battle Royale (USA)	box-3D	31
Benkei Gaiden (Japan)	box-3D	31
Bikkuriman World (Japan)	box-3D	31
Blazing Lazers (USA)	box-3D	31
Bloody Wolf (USA)	box-3D	31
Bomberman '93 (USA)	box-3D	31
Bomberman '93 - Special Version (Japan)	box-3D	31
Bomberman '94 (Japan)	box-3D	31
Bomberman (USA)	box-3D	31
Bomberman - Users Battle (Japan)	box-3D	31
Bonk 3 - Bonk's Big Adventure (USA)	box-3D	31
Bonk's Adventure (USA)	box-3D	31
Bonk's Revenge (USA)	box-3D	31
Bouken Danshaku Don - The Lost Sunheart (Japan)	box-3D	31
Boxyboy (USA)	box-3D	31
Bravoman (USA)	box-3D	31
Break In (Japan) (En)	box-3D	31
Bubblegum Crash! (Japan)	box-3D	31
Bull Fight - Ring no Hasha (Japan)	box-3D	31
Burning Angels (Japan)	box-3D	31
Cadash (USA)	box-3D	31
Champion Wrestler (Japan) (En)	box-3D	31
Champions Forever Boxing (USA)	box-3D	31
Chase H.Q. (USA)	box-3D	31
Chew-Man-Fu (USA)	box-3D	31
Chibi Maruko-chan - Quiz de Piihyara (Japan)	box-3D	31
Chikudenya Toubei - Kubikiri Yakata Yori (Japan)	box-3D	31
China Warrior (USA)	box-3D	31
Circus Lido (Japan) (En)	box-3D	31
City Hunter (Japan)	box-3D	31
Columns (Japan)	box-3D	31
Coryoon (Japan)	box-3D	31
Cratermaze (USA)	box-3D	31
Cross Wiber - Cyber Combat Police (Japan) (En)	box-3D	31
Cyber Cross (Japan)	box-3D	31
Cyber Dodge (Japan) (En)	box-3D	31
Cyber Knight (Japan)	box-3D	31
Cyber-Core (USA)	box-3D	31
Daichi-kun Crisis - Do Natural (Japan)	box-3D	31
Daisenpuu (Japan) (En)	box-3D	31
Darius Alpha (Japan) (En) (SG Enhanced)	box-3D	31
Darius Plus (Japan) (En) (SG Enhanced)	box-3D	31
Darkwing Duck (USA)	box-3D	31
Davis Cup Tennis (USA)	box-3D	31
Dead Moon (USA)	box-3D	31
Deep Blue (USA)	box-3D	31
Detana!! TwinBee (Japan)	box-3D	31
Devil's Crush (USA)	box-3D	31
Die Hard (Japan)	box-3D	31
Digital Champ - Battle Boxing (Japan)	box-3D	31
Don Doko Don! (Japan)	box-3D	31
Doraemon - Nobita no Dorabian Night (Japan)	box-3D	31
Double Dungeons (USA)	box-3D	31
Down Load (Japan)	box-3D	31
Dragon Egg! (Japan)	box-3D	31
