#key	synopsis
1943 Kai (Japan)	1943 Kai ist ein Shoot'em Up, das für Arcade veröffentlicht und dann für die PC Engine adaptiert wurde. Dies ist ein vertikales Shoot'em-Up, das von zwei Spielern gespielt werden kann. Das Gameplay ist klassisch: Man schießt und vermeidet es, abgeschossen zu werden. Power-Ups werden auf dem Bildschirm als „POW“ angezeigt und jedes Mal, wenn Sie darauf schießen, ändern sie sich.
21 Emon - Mezase! Hotel Ou (Japan)	21 Emon ist ein Brettspiel im japanischen Stil. Vier Spieler, Mensch oder NPC, würfeln abwechselnd, bewegen sich auf dem Spielfeld und landen auf verschiedenen Ereignisfeldern. Das ultimative Ziel ist es, so viele Hotels wie möglich zu bauen und mehr Gewinn als deine Gegner zu machen.
Aero Blasters (USA)	Aero Blasters ist ein schneller Side-Scrolling-Shooter. Es ist eine Portierung von Air Buster auf einem Arcade Automat. Der Spieler steuert ein kleines Schiff durch verschiedene Level mit vielen Feinden. Jedes Level endet mit einem Boss und einige Abschnitte beschleunigen das Gameplay, indem sie schnelle Hindernisparcours mit horizontalem und vertikalem Scrollen bieten. Fliegende orangefarbene Kapseln setzen viele Power-Ups auf einmal frei und verbessern die Schiffe mit neuen oder leistungsstärkeren Lasern, Flügelmännern und Schilden. Der Spieler kann auch die Feuertaste gedrückt halten, um eine Explosion aufzuladen, die alle feindlichen Kugeln vom Bildschirm entfernt und allen Feinden Schaden zufügt. Bei einem unversöhnlichen Schwierigkeitsgrad ist jeder Treffer tödlich, aber das Spiel kann an jedem Punkt fortgesetzt werden, solange noch Leben und Credits übrig sind. Das Spiel kann mit zwei Spielern kooperativ gespielt werden.
After Burner II (Japan) (En)	Ähnlich wie beim Vorgänger besteht die Prämisse von After Burner II darin, in die F-14 Tomcat zu steigen und eine Mission nach der anderen zu fliegen und Flugzeuge aus der Luft abzuschießen. Zu Ihrer Verfügung stehen eine Vulkankanone (im Grunde ein Maschinengewehr) und eine begrenzte Anzahl an Raketen. In einigen Versionen des Spiels feuern die Waffen ständig automatisch. Manchmal stößt man auf ein verbündetes Versorgungsflugzeug und wenn man daran andockt, kann man seine Raketen auffüllen. Das Spiel wird von der Rückseite des Flugzeugs aus betrachtet, während Sie Welle für Welle feindlicher Jäger bekämpfen. Aber im Kern bietet es die übliche Shooter-Mechanik, was bedeutet, dass Sie die meiste Zeit damit verbringen, auszuweichen und zu schießen. Sie können auch beschleunigen und verlangsamen, um mit Feinden fertig zu werden, die hinter Ihnen auftauchen.
Air Zonk (USA)	Air Zonk auf TurboGrafx ist ein Shoot'em-Up, bei dem Sie Ihre Gegner mit Ihren Schüssen und einer Armada von Bomben eliminieren müssen. Besiege jeden Boss am Ende des Levels, um einen von Air Zonks Freunden zu befreien, der, sobald er bei dir ist, Superangriffe starten kann, besonders wenn sie kombiniert werden. Schieße Blumen einer bestimmten Farbe ab, um Boni zu sammeln, die dich mächtiger machen und somit mehr Punkte verdienen.
Alien Crush (USA)	Alien Crush ist ein Video-Flipperspiel mit Alien-Motiven. Die Grafiken weisen starke Ähnlichkeiten mit der Kunst aus den Alien-Filmen auf, und alles hat ein dunkles und unheimliches Aussehen. Der Haupttisch hat zahlreiche bewegliche Ziele und Kugelsperren und ist zwei Bildschirme hoch. Es gibt mindestens drei Bonusspiele, die vom oberen Bildschirm aus zugänglich sind. Bonusspiele bestehen darin, sich bewegende Ziele auf einem separaten Bonustisch mit einem Bildschirm auszuschalten.
All Star Power League (Japan)	World Class Baseball ist ein Baseballspiel. Der Spieler kontrolliert den Pitcher und die Feldspieler (durch ein automatisches System, das ihm nach der Tradition der Baseballspiele die Kontrolle über denjenigen der Spieler gibt, der dem Ball am nächsten ist); nicht der Batter. Ein oder zwei kleine Fenster zeigen den Status des Runners während des Anspiels zwischen Batter und Pitcher an; Sobald der Ball getroffen wird, ändert sich die Ansicht in eine Vogelperspektive, die einen großen Teil des Spielfelds zeigt, auf dem die Aktion stattfindet, zusammen mit einem permanenten kleinen Feldbild am rechten unteren Bildschirmrand, das die Position jedes Spielers anzeigt das ganze Feld.
Andre Panza Kick Boxing (USA)	Diese von André Panza empfohlene Videospiel-Adaption des thailändischen Kickboxens bietet über 35 Bewegungen. Verwenden Sie die Trainingshalle, um die Fähigkeiten Ihres Charakters auszubauen, bis Sie sich bereit fühlen, es mit einem Gegner aufzunehmen. Sie haben auch die Möglichkeit, Ihre Angriffe anzupassen. Wenn Sie bereit sind, gehen Sie zum Ring, um gegen verschiedene Gegner anzutreten, während Sie versuchen, der beste Kickboxer im Spiel zu werden.
Aoi Blink (Japan)	Aoi Blink ist ein Side-Scrolling-Plattformer, der auf der gleichnamigen TV-Anime-Serie basiert. Die fünf Level sind ähnlich aufgebaut wie in Super Mario Bros. 3: Sie sind in verschiedene Bereiche unterteilt, die über einen Kartenbildschirm mit verzweigten Pfaden erreicht werden. Diese Bereiche müssen gelöst werden, um auf der Karte weitergehen zu können. Die Besonderheit dieses Spiels besteht darin, dass der Spieler im Handumdrehen zwischen drei Charakteren mit unterschiedlichen Fähigkeiten wechseln kann, z. Einer kann hoch springen und ein anderer hat eine bessere Waffe. Diese sind wichtig, um die Herausforderungen, die die Level mit sich bringen, meistern zu können. Sie bestehen hauptsächlich aus traditionellem Jump'n'Run und dem Ausweichen/Schießen von Feinden. Allerdings muss der Bossbereich am Ende der Levelkarte mit einem Generalschlüssel geöffnet werden. In jedem Bereich ist einer versteckt.
Appare! Gateball (Japan)	Appare! Gateball ist ein Krocketspiel. Es gibt zwei Teams mit je fünf Spielern. Ein Team spielt mit einem weißen Ball und ein Team spielt mit einem roten Ball. Das rote Team beginnt als erstes. Das Ziel ist es, den Ball durch drei Tore zu befördern und den Pfahl zu treffen. Das Spiel kann auf einem Gras- oder Sandplatz gespielt werden und es stehen 12 Spieler zur Auswahl, die alle ihre eigenen Statistiken haben.
