#key	synopsis
1943 Kai (Japan)	La historia en este juego viene a ser la de siempre, una batalla aérea en el Pacífico en el marco de la segunda guerra mundial, en la que el jugador tomará los mandos de un caza con el que tendrá que derribar a todos los enemigos posibles intentando que en el camino no se lo lleven por delante.
21 Emon - Mezase! Hotel Ou (Japan)	21 Emon - Mezase Hotel Ou!! es uno de esos juegos de mesa de estilo japonés que nunca han tenido un gran impacto en el oeste. Cuatro jugadores (cualquier combinación de humano y computadora) se turnan para tirar dados y moverse por el tablero isométrico, aterrizando en varias casillas de eventos. El objetivo final es construir tantos hoteles como puedas y hacer más botín que tus oponentes.
Aero Blasters (USA)	En este juego, el jugador controla un avión de caza el cual está diseñado para viajar por el espacio y matar enemigos, y derrotar jefes para ir subiendo de nivel. En el juego de videoconsola, Air Buster ofrece la posibilidad de jugar en modo de dos jugadores en simultáneo.
After Burner II (Japan) (En)	Estás acorralado y no hay tiempo para pensar. Estás rodeado por un enjambre de aviones enemigos y otros más se acercan al frente a una velocidad de 5 Mach. Comienzas a disparar tus ametralladoras. No podrás atinar a nada por la increíble velocidad del ataque. ¡Enciende tu impulsor a chorro! ¡Zambúllete en un picado y gira! Lánzate en un tonel a 360 grados mientras el enemigo desciende en barrena tan cerca, que casi tocas las puntas de las alas.
Air Zonk (USA)	En 1992, Hudson Soft se expandió sobre la franquicia de Bonk's Adventure que habían creado al crear Air Zonk, un juego de disparos en 2D con desplazamiento lateral &quot;cute 'em up&quot; ambientado en un futuro ciberpunk. Si bien Air Zonk se diferenciaba de su sucesor en términos de jugabilidad, el estilo de dibujos animados de la serie Bonk todavía se podía ver en todo el juego, especialmente en los gráficos, los personajes y, por supuesto, el propio Zonk. Puede parecer que Air Zonk presenta una capa de dibujos animados de caramelos en el exterior, pero sigue siendo un juego tradicional de disparos en el fondo. Todavía tienes una selección de tus potenciadores de armas básicos (8 en total aquí), pero las armas extendidas y las explosiones poderosas ahora están representadas por barajas de cartas y mandíbulas gigantes de metal. Los endbosses grandes e imponentes siguen siendo la norma, pero aquí tus enemigos van desde montones gigantes de basura viva hasta jugadores de fútbol asesinos. ¿Y el espacio exterior? ¿Quién necesita hacer explotar cosas allí cuando tienes otros lugares (5 en total) como un estadio gigantesco para hacerlo?
Alien Crush (USA)	Alien Crush es un videojuego de pinball de temática alienígena. Los gráficos presentan fuertes similitudes con el arte de las películas de Alien, y todo tiene un aspecto oscuro y siniestro. La mesa principal tiene numerosos objetivos móviles y bloqueos de bola y tiene dos pantallas de alto. Hay al menos tres juegos de bonificación accesibles desde la pantalla superior. Los juegos de bonificación consisten en eliminar objetivos en movimiento en una mesa de bonificación de pantalla única separada.
All Star Power League (Japan)	A diferencia de los juegos de béisbol modernos, &quot;World Class Baseball&quot; no incluye estadísticas de la temporada o equipos o jugadores de las Grandes Ligas; en cambio, presenta equipos como las manzanas de Nueva York y Tokio Ninjas y jugadores llamados Brick y Fuka. Al golpear, el juego se juega desde el punto de vista del receptor estándar, pero pasa a vista de pájaro cuando se golpea la pelota. Lo que hace que este juego sea especial es la inteligencia artificial, que es fuerte y se ajusta para que siempre te desafíe.
Andre Panza Kick Boxing (USA)	Avalada por André Panza, esta adaptación de videojuego de kick boxing tailandés presenta más de 35 movimientos. Usa el gimnasio de entrenamiento para desarrollar las habilidades de tu personaje hasta que te sientas listo para enfrentarte a un oponente. También tienes la capacidad de personalizar tus ataques. Cuando estés listo, ve al ring para enfrentarte a varios oponentes mientras intentas convertirte en el mejor kick boxer del juego.
Aoi Blink (Japan)	El juego es similar al Castillo Secreto de Milon (NES), y juegos en la franquicia Kirby. También recuerda a los vikingos perdidos en que tu trío de protagonistas debe usar sus habilidades individuales para resolver acertijos y derrotar enemigos. Los gráficos están en el punto para los juegos de su edad, y la música (aunque repetitiva) puede ser bastante pegadiza a veces.
Appare! Gateball (Japan)	Appare Gateball es un juego de croquet. El objetivo del juego es golpear la pelota a través de pequeñas puertas en el suelo en un cierto orden y en el menor número de movimientos posible. Para golpear la pelota, el tiro primero debe estar alineado. entonces el poder del disparo también debe ser ajustado. Para ajustar la potencia, el jugador debe detener un control deslizante que se mueve de izquierda a derecha continuamente.
