#key	synopsis
1943 Kai (Japan)	Questa è una versione migliorata di 1942: The Pacific Air War, con la maggior parte della grafica e dei suoni rielaborati. Ci sono anche modifiche alle armi e l'inclusione di oggetti anacronistici come gli aerei della Seconda Guerra Mondiale che lanciano laser e navi che navigano a terra. Il giocatore controlla un biplano Boeing Stearman E75 N68828 invece del P-38 L'adattamento PC Engine aggiunge alcuni livelli originali alla versione arcade, oltre a interruzioni animate.
21 Emon - Mezase! Hotel Ou (Japan)	Naturalmente un tie-in manga/anime TV, 21 Emon è uno di quei giochi da tavolo in stile giapponese che non hanno mai avuto un grande impatto in occidente. Quattro giocatori (qualsiasi combinazione di umano e computer) si alternano per tirare i dadi e spostarsi sul tabellone isometrico, atterrando su vari quadrati dell'evento. L'obiettivo finale è costruire il maggior numero possibile di hotel e guadagnare più bottino dei tuoi avversari.
Aero Blasters (USA)	Air Buster è un veloce sparatutto a scorrimento laterale. Il giocatore controlla una piccola imbarcazione attraverso diversi livelli con molti nemici. Ogni livello termina con un boss e alcune sezioni velocizzano il gioco, offrendo veloci percorsi ad ostacoli a scorrimento sia in orizzontale che in verticale. I baccelli arancioni volanti rilasciano molti potenziamenti contemporaneamente, potenziando le navi con laser, uomini alari e scudi nuovi o più potenti. Il giocatore può anche tenere premuto il tasto di fuoco per caricare un'esplosione che rimuove tutti i proiettili nemici dallo schermo e infligge danni a tutti i nemici. Con una difficoltà spietata, ogni colpo è fatale, ma il gioco può essere continuato da qualsiasi momento purché ci siano vite e crediti rimasti. Il gioco può essere giocato con due giocatori in modo cooperativo.
After Burner II (Japan) (En)	Simile al suo predecessore, la premessa di After Burner II è salire sull'F-14 Tomcat e volare missione dopo missione sparando aerei dal cielo. A tua disposizione c'è un cannone vulcanico (fondamentalmente una mitragliatrice) e un numero limitato di missili. In alcune versioni del gioco le pistole sparano sempre automaticamente. A volte ti imbatti in un aereo di rifornimento amico e se attracchi con esso puoi rifornire i tuoi missili. Il gioco è visto da dietro l'aereo con te che combatti ondate su ondate di combattenti nemici. Ma in fondo offre la solita meccanica sparatutto, il che significa che trascorri la maggior parte del tuo tempo schivando e sparando. Puoi anche accelerare e rallentare per affrontare i nemici che appaiono dietro di te.
Air Zonk (USA)	Air Zonk su TurboGrafx è uno sparatutto in cui devi eliminare i tuoi avversari con i tuoi colpi e un'armata di bombe. Sconfiggi ogni boss di fine livello per liberare uno degli amici di Air Zonk che, una volta con te, può lanciare super attacchi, soprattutto se combinati. Taglia i fiori di un certo colore per raccogliere bonus che ti renderanno più potente e quindi guadagnerai più punti.
Alien Crush (USA)	Alien Crush è un videogioco di flipper a tema alieno. La grafica presenta forti somiglianze con l'arte dei film di Alien e tutto ha un aspetto oscuro e sinistro. Il tavolo principale ha numerosi bersagli mobili e blocchi di palla ed è alto due schermi. Ci sono almeno tre giochi bonus accessibili dallo schermo superiore. I giochi bonus consistono nell'eliminare bersagli mobili su un tavolo bonus separato a schermo singolo.
All Star Power League (Japan)	World Class Baseball è un gioco di baseball. Il giocatore controlla lanciatore e difensori (attraverso un sistema automatico che, seguendo la tradizione delle partite di baseball, gli dà il controllo su quello dei giocatori più vicini alla palla); non la pastella. Una o due finestrelle mostrano lo stato del corridore durante l'ingaggio tra battitore e lanciatore; una volta che la palla viene colpita, la visuale cambia in una visuale a volo d'uccello, mostrando una buona porzione del campo di gioco in cui si svolge l'azione, insieme a un'immagine permanente di un piccolo campo nella parte inferiore destra dello schermo che mostra la posizione di ogni giocatore su l'intero campo.
Andre Panza Kick Boxing (USA)	Approvato da André Panza, questo adattamento videoludico della kick boxing thailandese presenta oltre 35 mosse. Usa la palestra di allenamento per sviluppare le abilità del tuo personaggio finché non ti senti pronto ad affrontare un avversario. Hai anche la possibilità di personalizzare i tuoi attacchi. Quando sei pronto, vai sul ring per affrontare vari avversari mentre cerchi di diventare il miglior kick boxer del gioco.
Aoi Blink (Japan)	Hai tre personaggi e puoi scegliere tra loro, alcuni hanno la capacità di saltare molto in alto, mentre altri hanno un tiro migliore... Il gioco è diviso in diverse aree che raggiungi attraverso la mappa principale. Aoi Blink (o &quot;Blue Blink&quot;) è un simpatico platform game che riesce a trovare il suo posto tra la moltitudine di Beat em all su PCE, molto carino visivamente e piacevole da giocare. Sembra anche un famoso Manga nella terra del sol levante.
Appare! Gateball (Japan)	Apparire! Gateball è un gioco sportivo con il gateball, uno sport asiatico simile al croquet. Il gioco è composto da due squadre di cinque giocatori ciascuna. Una squadra gioca con una palla bianca e una squadra gioca con una palla rossa. Parte prima la squadra rossa. L'obiettivo è passare la palla attraverso tre porte e colpire il piolo. Le opzioni incluse sono giocare su un campo in erba o in sabbia e scegliere tra 12 giocatori, ognuno con le proprie statistiche.
Armed F (Japan) (En)	Formation Armed F, o semplicemente Armed F, è uno sparatutto a scorrimento verticale originariamente sviluppato da Manjyudo e pubblicato da Nichibutsu per Arcade nel 1988. Successivamente è stato portato su PC Engine da Pack-In-Video nel 1990. Il Vowger RC30, il caccia stellare più all'avanguardia della flotta della Via Lattea, viene inviato per indagare su un fenomeno insolito che ha inghiottito un certo numero di stazioni spaziali ai margini della galassia. Il Vowger è in grado di adattarsi tramite numerosi potenziamenti, che spesso richiedono che il giocatore cambi le proprie formazioni di armi per prendere di mira meglio i nemici che devono affrontare.
Artist Tool (Japan)	Artist Tool è un programma di creazione d'arte di base per PC Engine sviluppato da Hudson. È gestito da una periferica per tavoletta grafica denominata &quot;Illust Booster&quot;, che permetteva agli utenti di disegnare direttamente sullo schermo con uno stilo simile alle tavolette artistiche di oggi, e un'altra periferica, la &quot;Print Booster&quot;, che permetteva agli utenti di stampare i propri creazioni su schermo su carta anche il &quot;Photo Reader&quot; che funzionava come scanner di immagini. Oltre a un set di base di strumenti di disegno, il lettore poteva passare da tre tracce musicali da ascoltare mentre funzionavano. Il gioco è una HuCard particolarmente rara e quindi preziosa per i collezionisti, a causa del numero di periferiche altrettanto rare e costose vendute insieme ad esso. Sia il gioco che le periferiche richiedono prezzi elevati sui siti di aste.
Atomic Robo-Kid Special (Japan) (En)	Atomic Robokid Special su Nec offre una versione rivista che viene corretta da questa versione originale imperfetta. Se l'hit point è ancora enorme, questa volta gli sviluppatori hanno integrato una barra della vita, che ti permette di essere colpito molte volte prima di perdere una vita. E proprio questo, questo cambia tutto! Anche i livelli sono cambiati un po', ora sono più tagliati. Ce ne sono una ventina. L'obiettivo si alterna tra trovare la porta di uscita (senza necessariamente battere tutti i nemici, peccato!), o affrontare un buon grosso boss che occupa molto spazio sullo schermo.
Ballistix (USA)	Psygnosis' Ballistix è un gioco arcade in cui devi manipolare una palla per segnare un gol con il tuo avversario. Per fare ciò, controllerai una freccia che definisce una direzione e premendo il tasto di fuoco lancerà una palla da questa freccia nella direzione in cui punta la freccia; lanciando le palle ad angoli corretti, manipolerai la palla principale e controllerai il modo in cui si muove. Ballistix mantiene anche alcune leggi della fisica (vale a dire gravità e attrito) e ti presenterà ostacoli variabili in modalità a uno o due giocatori.
Bari Bari Densetsu (Japan)	Bari Bari Densetsu è un gioco di corse basato sull'omonimo anime. Il giocatore veste i panni di un giovane atleta che partecipa al Gran Premio del mondo motociclistico. Ogni gara è composta da una qualifica e dalla gara stessa, l'obiettivo ovviamente è quello di raccogliere una buona posizione alla fine. Il gioco include anche alcune personalizzazioni di base della bici in cui il giocatore può cambiare le gomme, i freni, il motore, le sospensioni o la missione prima di una gara. Il tempo influenza le prestazioni e la maneggevolezza della bici, a seconda delle parti della bici e del percorso. Inoltre c'è una modalità di viaggio in cui i 16 corsi possono essere scelti liberamente.
Barunba (Japan)	Barunba è uno sparatutto in stile fumetto. I livelli scorrono e si spostano automaticamente in tutte le direzioni. Controlli un veicolo spaziale che ha un anello di armi intorno e quindi può sparare in varie direzioni. Le armi possono essere potenziate sparando ai nemici e raccogliendo le capsule in cui potrebbero cambiare. Ogni livello ha il suo tema ed è piuttosto lungo e ha dei boss: un boss di medio livello e un boss finale. Entrambi i boss devono essere sconfitti prima di poter continuare a finire il livello o passare al successivo. Una barra di stato nella parte inferiore dello schermo mostra la barra dell'energia della tua nave ed è Game Over quando quella barra si è esaurita.
Batman (Japan) (En)	Batman on Turbografx è un gioco d'azione/piattaforma ispirato al film Batman uscito nel 1989. Sono disponibili sei livelli (di cui due con fasi di ripresa), tra cui Gotham City, il Museo Flugelheim e la Cattedrale. Combatti e usa i tanti gadget di Batman per avvicinarti al Joker e fargli mordere la polvere.
Battle Lode Runner (Japan) (En)	Il titolo di azione/riflessione Battle Lode Runner su Turbografx-16 utilizza lo stesso principio del primo gioco aggiungendo un'opzione multiplayer in modo che 5 giocatori possano divertirsi contemporaneamente. Tutti cercano quindi di recuperare quanto più oro possibile evitando i nemici in agguato.
Battle Royale (USA)	Battle Royale è un gioco di wrestling che presenta battaglie da ultimo uomo in piedi tra due fino a cinque lottatori. Il gioco presenta tre livelli di difficoltà, cinque lottatori tra cui scegliere e due modalità di gioco. Solo per giocatori singoli è disponibile la modalità torneo, con 15 possibili battaglie consecutive, che iniziano con uno contro uno e continuano fino a una partita completa a cinque. Nella seconda modalità, il numero dei concorrenti può essere impostato liberamente per una singola partita. Tuttavia, c'è un problema nel modo in cui un giocatore sceglie il proprio lottatore: prima della partita, i manager dei combattenti si sfidano mentre si recano a selezionare il loro combattente preferito e lo incoraggiano ad eliminare temporaneamente gli avversari.
Benkei Gaiden (Japan)	Benkei Gaiden è un tradizionale gioco di ruolo in stile giapponese, ambientato in un ambiente che ricorda il Giappone feudale, con elementi soprannaturali come mostri, ecc. Il giocatore naviga Oniwaka sulla mappa dall'alto verso il basso, visitando le città, acquistando equipaggiamento (armi e armature). ) e combatti i nemici che appaiono casualmente in combattimenti a turni visti dalla prospettiva in prima persona. Il gioco è stato ovviamente fortemente influenzato dai precedenti giochi di Dragon Quest; il menu di interazione è pressoché identico (il giocatore deve aprire un menu e scegliere comandi verbali come &quot;Parla&quot; o &quot;Cerca&quot;, invece di compiere azioni diverse semplicemente premendo un pulsante), e il gameplay generale non si discosta dalla formula classica .
Bikkuriman World (Japan)	Bikkuriman World su PC Engine è un gioco d'azione/piattaforma in cui giochi nei panni di Wonder Boy il cui compito principale è eliminare il drago Meka che terrorizza gli abitanti di Monster Land. Questo gioco introduce il concetto di monete d'oro che possono essere raccolte dai mostri. Questi ti permetteranno di acquistare equipaggiamento dai mercanti, rendendo il tuo personaggio più efficiente.
Blazing Lazers (USA)	Blazing Lazers è uno sparatutto dall'alto con 9 livelli di azione varia e frenetica. La storia qui è la solita varietà salva-il-mondo. Devi pilotare la tua nave contro 8 super-armi e infine distruggere la minaccia una volta per tutte. Il sistema di potenziamento in Blazing Lazers merita una menzione speciale. Esistono quattro tipi principali di armi e ogni tipo di arma può essere aggiornato più volte per produrre un'incredibile quantità di potenza di fuoco. Inoltre, ci sono sistemi d'arma secondari che ti forniscono scudi, missili a ricerca, unità multi-fuoco o potenziamenti di armi.
Bloody Wolf (USA)	Bloody Wolf è un gioco d'azione militare. Giochi nei panni di un membro di un commando per trovare il presidente il cui aereo si è schiantato nel mezzo della giungla. Puoi scegliere tra due personaggi ma sfortunatamente non puoi giocare in due come nella versione arcade. Buona guerra!!
Bomberman '93 (USA)	Bomberman '93 su Pc Engine è un gioco di azione/riflessione in cui usi bombe per far esplodere i tuoi avversari su tabelloni punteggiati di bonus e trappole. Fai esplodere i tuoi petardi a distanza o dai un bel calcio per mandarli all'altra estremità della mappa, tutti i mezzi sono buoni!
Bomberman '93 - Special Version (Japan)	Bomberman '93 su Pc Engine è un gioco di azione/riflessione in cui usi bombe per far esplodere i tuoi avversari su tabelloni punteggiati di bonus e trappole. Fai esplodere i tuoi petardi a distanza o dai un bel calcio per mandarli all'altra estremità della mappa, tutti i mezzi sono buoni!
Bomberman '94 (Japan)	Mai uno che lascia qualcosa di buono da dimenticare, Hudson è tornato con il terzo capitolo della sempre presente serie Bomber Man, e con questo arrivano alcuni cambiamenti. A parte il nostro piccolo eroe tozzo che ha perso un po' di peso dal '93, anche il gameplay è stato modificato in modo significativo. Pur mantenendo l'azione di base del bombardamento, il completamento di un livello ora non richiede più la distruzione di tutti i nemici sullo schermo. Invece, devi trovare e distruggere una serie di pilastri su ogni livello e questi sbloccheranno un pezzo di amuleto rotto dalla sua cupola protetta. Raccogli il pezzo e tutti i blocchi distruttibili rimanenti si trasformano in monete e hai circa 15 secondi per raccoglierne il maggior numero possibile. Un'altra importante aggiunta sono gli animali di tipo canguro su cui puoi saltare e cavalcare. Questi hanno abilità speciali, come saltare e simili, e contano anche come un colpo extra nel caso in cui ti imbatti in un nemico o ti fai esplodere stupidamente.
Bomberman (USA)	Il primo Bomberman del PC Engine, è uno dei primi disponibili su console casalinga. Il principio del gioco è semplice, controlli un piccolo personaggio che deve, usando delle bombe, sbarazzarsi dei nemici presenti nei livelli. Una volta che i nemici sono stati distrutti, appare un piccolo quadrato blu e devi solo calpestarlo per essere teletrasportato al livello successivo. Con una modalità in solitario, sicuramente interessante, è proprio la modalità multiplayer a decretare il successo della serie. In questa versione per PC Engine puoi giocarne fino a cinque contemporaneamente, e lì i giochi diventano estremamente divertenti, pura felicità. Ovviamente i bonus sono già in gioco.
Bomberman - Users Battle (Japan)	Il primo Bomberman del PC Engine, è uno dei primi disponibili su console casalinga. Il principio del gioco è semplice, controlli un piccolo personaggio che deve, usando delle bombe, sbarazzarsi dei nemici presenti nei livelli. Una volta che i nemici sono stati distrutti, appare un piccolo quadrato blu e devi solo calpestarlo per essere teletrasportato al livello successivo. Con una modalità in solitario, sicuramente interessante, è proprio la modalità multiplayer a decretare il successo della serie. In questa versione per PC Engine puoi giocarne fino a cinque contemporaneamente, e lì i giochi diventano estremamente divertenti, pura felicità. Ovviamente i bonus sono già in gioco.
