#key	synopsis
1943 Kai (Japan)	Esta é uma versão aprimorada de 1942: The Pacific Air War, com a maioria dos gráficos e sons retrabalhados. Há também mudanças nas armas e a inclusão de itens anacrónicos, como aviões da Segunda Guerra Mundial que lançam laser e navios que navegam no solo. O jogador controla um biplano Boeing Stearman E75 N68828 em vez do P-38.A adaptação do PC Engine adiciona alguns níveis originais aos da versão arcade, bem como intervalos animados.
Aero Blasters (USA)	Aero Blasters é um shoot'em up de deslocamento lateral rápido. O jogador controla uma pequena nave através de diferentes níveis com muitos inimigos. Cada nível termina com um chefe e algumas seções aceleram a jogabilidade, oferecendo cursos de obstáculos rápidos tanto na rolagem horizontal quanto na vertical. Com uma dificuldade implacável, cada acerto é fatal, mas o jogo pode ser continuado de qualquer ponto, desde que existam vidas e créditos restantes. O jogo pode ser jogado com dois jogadores de forma cooperativa.
After Burner II (Japan) (En)	Jogo de batalha aérea (avião) estilo arcade. Além do Turbografx-16, o game também foi lançado para Arcade, Mega Drive, Saturn, microcomputadores e dispositivos móveis, bem como nas coletâneas Sega Ages (Saturn) e Yu Suzuki Game Works Vol. 1 (Dreamcast), além de ser jogável em Shenmue II (Dreamcast). O jogo ainda ganhou versão em 3D para o 3DS, além de um remake para PlayStation 2.
Air Zonk (USA)	Air Zonk (PC Denjin : Punkic Cyborgs no Japão) é um shoot'em up no qual você tem que eliminar seus oponentes com seus tiros e bombas. Derrotar cada chefe de nível para libertar um dos amigos de Air Zonk que, uma vez com você, será capaz de lançar super ataques especialmente se eles estiverem combinados. Atire flores de uma determinada cor para coletar bônus que o tornarão mais poderoso e ganhará mais pontos.
Alien Crush (USA)	Jogo de pinball. Além do Turbografx-16, o game também foi lançado para Arcade. O game também foi disponibilizado no sistema Virtual Console para Wii, 3DS e Wii U e no sistema PC Engine Classics para Playstation 3, PSP e PS Vita.
Andre Panza Kick Boxing (USA)	Endossado por André Panza, esta adaptação para vídeo game do kickboxing tailandês apresenta mais de 35 movimentos. Use o ginásio de treinamento para construir as habilidades do seu personagem até se sentir pronto para enfrentar um adversário. Você também tem a capacidade de personalizar seus ataques. Quando você estiver pronto, vá para o ringue para enfrentar vários oponentes ao tentar se tornar o melhor kickboxer do jogo.
Aoi Blink (Japan)	Você pode escolher entre três personagens, alguns têm a capacidade de pular muito alto, enquanto outros têm um melhor tiro ... O jogo é dividido em diferentes áreas que você junta através do mapa principal. Aoi Blink (ou &quot;Blue Blink&quot;) é um bonito jogo de plataformas que consegue encontrar o seu lugar entre a multidão de Beat em up no PCE, muito bonito visualmente e divertido de jogar. É também um famoso mangá na terra do sol nascente.
Appare! Gateball (Japan)	Appare! Gateball é um jogo de esportes de gateball, um esporte asiático semelhante ao croqué. O jogo consiste em duas equipes de cinco jogadores cada. Um time joga com uma bola branca e um time joga com uma bola vermelha. A equipe vermelha começa primeiro. O objetivo é passar a bola através de três arcos e acertar o pino. Entre as opções incluídas estão jogar em um campo de grama ou campo de areia, e escolher entre 12 jogadores, cada um com suas próprias estatísticas.
Artist Tool (Japan)	O Artist Tool é um programa básico de criação de arte para o PC Engine desenvolvido pela Hudson. Ele é operado por um periférico chamado &quot;Illust Booster&quot;, que permite que os usuários desenhem diretamente na tela com uma caneta similar aos tablets artísticos de hoje, e outro periférico, o &quot;Print Booster&quot;, que permite aos usuários imprimir seus arquivos. Criações na tela para o papel, bem como o &quot;Photo Reader&quot;, que funcionava como um scanner de imagem. Assim como um conjunto básico de ferramentas de desenho, o jogador poderia alternar entre três faixas de música para ouvir enquanto trabalhavam. O jogo é um HuCard para colecionadores particularmente raro e, portanto, valioso, devido ao número de periféricos igualmente raros e caros que foram vendidos junto com ele. Tanto o jogo quanto os periféricos comandam preços altos nos sites de leilão.
Atomic Robo-Kid Special (Japan) (En)	Atomic Robo-Kid Special é uma adaptação para PC Engine do Atomic Robo-Kid, originalmente lançado pela UPL para o Arcade em 1988. Ao contrário das versões lançadas para outros sistemas, que eram todas conversões de Arcade, no PC Engine foi reconstruído do zero e carrega o modificador &quot;Special&quot; em seu título. A versão do PC Engine nunca foi lançada fora do Japão. Jogabilidade Com o padrão Atomic Robo-Kid, a máquina de guerra robótica homônima passa por uma série de etapas para encontrar a saída. Cada saída é bloqueada por um chefe inimigo, que geralmente precisa ser destruído antes que a saída se torne acessível. O Atomic Robo-Kid pode coletar até três upgrades de armas e alternar entre eles: se eles perderem uma vida, eles perderão a atualização atualmente equipada, mas manterão os outros. O jogo irá alternar como cada estágio é apresentado. Os dois primeiros estágios são side-scrollers, enquanto outros incluem um &quot;duelo&quot; de tela única com um rival, um estágio de labirinto que o jogador explora em várias direções e outras divergências.
